2024-01-06 00:00:00:000,44.1,11,13,15,153,94,0.5,1.0,0.4,0.5,1
2024-01-06 00:00:00:100,51.1,12,15,14,153,99,0.5,0.9,0.4,0.5,1
2024-01-06 00:00:00:200,59.4,10,10,15,162,89,0.5,1.0,0.4,0.6,1
2024-01-06 00:00:00:300,65.2,12,13,14,180,103,0.6,0.9,0.4,0.6,1
2024-01-06 00:00:00:400,67.8,14,15,12,171,99,0.5,1.0,0.4,0.5,1
2024-01-06 00:00:00:500,69.1,9,11,16,153,96,0.7,1.0,0.4,0.6,1
2024-01-06 00:00:00:600,73.0,15,15,14,158,92,0.5,0.9,0.5,0.5,1
2024-01-06 00:00:00:700,73.9,14,14,13,178,100,0.4,0.9,0.5,0.5,1
2024-01-06 00:00:00:800,74.6,9,9,13,168,89,0.4,0.9,0.4,0.5,1
2024-01-06 00:00:00:900,77.5,13,13,12,178,90,0.7,0.9,0.4,0.6,1
2024-01-06 00:00:01:000,77.9,11,9,14,171,107,0.3,1.0,0.4,0.6,1
2024-01-06 00:00:01:100,79.6,11,10,12,177,94,0.8,0.9,0.5,0.5,1
2024-01-06 00:00:01:200,81.9,15,9,12,154,90,0.7,0.9,0.5,0.5,1
2024-01-06 00:00:01:300,82.3,9,16,15,165,98,0.4,1.0,0.4,0.5,1
2024-01-06 00:00:01:400,82.9,10,10,11,161,93,0.4,0.9,0.4,0.5,1
2024-01-06 00:00:01:500,83.6,11,11,11,165,105,0.5,0.9,0.4,0.5,1
2024-01-06 00:00:01:600,84.9,15,10,14,180,91,0.5,0.9,0.5,0.6,1
2024-01-06 00:00:01:700,86.2,14,15,12,156,98,0.7,1.0,0.5,0.6,1
2024-01-06 00:00:01:800,87.1,9,16,14,175,92,0.4,1.0,0.4,0.5,1
2024-01-06 00:00:01:900,87.6,9,15,12,168,95,0.7,1.0,0.4,0.5,1
2024-01-06 00:00:02:000,88.5,12,15,16,155,95,0.6,1.0,0.5,0.6,1
2024-01-06 00:00:02:100,89.1,11,12,15,172,98,0.5,1.0,0.5,0.5,1
2024-01-06 00:00:02:200,89.7,9,14,16,183,91,0.8,1.0,0.5,0.6,1
2024-01-06 00:00:02:300,90.0,12,16,14,159,99,0.3,1.0,0.4,0.5,1
2024-01-06 00:00:02:400,91.3,10,9,12,174,107,0.4,0.9,0.5,0.6,1
2024-01-06 00:00:02:500,92.1,12,11,16,154,89,0.7,0.9,0.5,0.5,1
2024-01-06 00:00:02:600,92.2,10,12,16,182,90,0.3,0.9,0.4,0.5,1
2024-01-06 00:00:02:700,92.4,11,15,12,166,94,0.7,0.9,0.5,0.6,1
2024-01-06 00:00:02:800,93.4,15,10,15,159,97,0.6,0.9,0.4,0.6,1
2024-01-06 00:00:02:900,94.0,8,16,16,155,99,0.7,1.0,0.5,0.5,1
2024-01-06 00:00:03:000,94.9,15,12,14,174,105,0.6,1.0,0.5,0.5,1
2024-01-06 00:00:03:100,95.0,9,12,12,176,100,0.4,1.0,0.5,0.5,1
2024-01-06 00:00:03:200,95.5,11,15,16,159,97,0.3,1.0,0.4,0.5,1
2024-01-06 00:00:03:300,96.5,9,14,16,171,105,0.6,0.9,0.5,0.5,1
2024-01-06 00:00:03:400,97.1,14,16,17,179,102,0.3,0.9,0.4,0.5,1
2024-01-06 00:00:03:500,97.6,12,16,14,156,99,0.7,1.0,0.4,0.5,1
2024-01-06 00:00:03:600,97.9,13,13,14,178,101,0.4,0.9,0.4,0.5,1
2024-01-06 00:00:03:700,98.2,15,10,17,170,97,0.3,0.9,0.4,0.5,1
2024-01-06 00:00:03:800,98.9,8,9,12,171,106,0.6,1.0,0.4,0.5,1
2024-01-06 00:00:03:900,99.4,10,11,15,155,90,0.4,1.0,0.5,0.6,1
2024-01-06 00:00:04:000,100.1,12,9,16,180,102,0.3,0.9,0.5,0.6,1
2024-01-06 00:00:04:100,100.4,9,15,11,178,99,0.6,1.0,0.4,0.5,1
2024-01-06 00:00:04:200,100.6,13,12,12,152,99,0.7,1.0,0.5,0.5,1
2024-01-06 00:00:04:300,101.0,13,14,17,164,92,0.7,0.9,0.5,0.6,1
2024-01-06 00:00:04:400,101.3,10,15,14,177,92,0.6,1.0,0.4,0.5,1
2024-01-06 00:00:04:500,101.7,13,13,12,174,93,0.7,1.0,0.4,0.5,1
2024-01-06 00:00:04:600,102.3,12,15,14,179,109,0.4,1.0,0.4,0.6,1
2024-01-06 00:00:04:700,102.6,11,15,14,173,107,0.5,0.9,0.5,0.6,1
2024-01-06 00:00:04:800,102.9,12,14,12,174,93,0.8,0.9,0.4,0.5,1
2024-01-06 00:00:04:900,103.4,9,16,12,152,94,0.5,0.9,0.4,0.5,1
2024-01-06 00:00:20:000,41.4,10,11,12,158,101,0.6,1.0,0.5,0.6,2
2024-01-06 00:00:20:100,41.7,10,9,14,180,89,0.6,1.0,0.4,0.6,2
2024-01-06 00:00:20:200,42.2,10,13,14,161,92,0.5,0.9,0.4,0.5,2
2024-01-06 00:00:20:300,40.9,10,13,15,155,98,0.3,0.9,0.5,0.5,2
2024-01-06 00:00:20:400,41.9,10,15,14,164,109,0.6,1.0,0.5,0.5,2
2024-01-06 00:00:20:500,42.4,10,10,16,154,99,0.4,0.9,0.4,0.5,2
2024-01-06 00:00:20:600,42.6,10,11,14,163,104,0.4,1.0,0.4,0.6,2
2024-01-06 00:00:20:700,41.0,10,11,16,179,98,0.6,1.0,0.5,0.6,2
2024-01-06 00:00:20:800,42.8,10,10,16,152,95,0.8,0.9,0.5,0.5,2
2024-01-06 00:00:20:900,41.9,10,13,12,167,92,0.6,0.9,0.4,0.5,2
2024-01-06 00:00:21:000,42.1,10,14,12,154,109,0.5,1.0,0.4,0.5,2
2024-01-06 00:00:21:100,42.7,10,16,16,172,109,0.5,1.0,0.5,0.5,2
2024-01-06 00:00:21:200,40.8,10,12,15,182,106,0.4,0.9,0.5,0.6,2
2024-01-06 00:00:21:300,42.3,10,14,16,154,93,0.5,1.0,0.5,0.6,2
2024-01-06 00:00:21:400,41.3,11,15,15,179,107,0.7,0.9,0.5,0.6,2
2024-01-06 00:00:21:500,42.4,11,12,11,164,104,0.3,0.9,0.4,0.5,2
2024-01-06 00:00:21:600,42.7,11,11,13,174,102,0.7,0.9,0.5,0.5,2
2024-01-06 00:00:21:700,42.8,11,10,13,166,103,0.4,1.0,0.5,0.6,2
2024-01-06 00:00:21:800,41.9,12,12,15,184,98,0.4,0.9,0.5,0.5,2
2024-01-06 00:00:21:900,41.1,12,11,14,182,101,0.3,0.9,0.4,0.6,2
