2024-01-04 12:00:00:000,44.2,8,9,11,124,112,0.5,0.9,0.4,0.6
2024-01-04 12:00:00:100,44.7,8,9,11,125,112,0.5,0.9,0.4,0.5
2024-01-04 12:00:00:200,45.3,8,9,11,125,112,0.5,0.9,0.4,0.5
2024-01-04 12:00:00:300,46.0,8,9,11,125,112,0.5,0.9,0.4,0.5
2024-01-04 12:00:00:400,46.3,8,9,11,123,112,0.6,0.9,0.4,0.5
2024-01-04 12:00:00:500,46.8,8,9,11,123,112,0.5,0.9,0.5,0.5
2024-01-04 12:00:00:600,47.0,8,9,11,123,112,0.5,1.1,0.3,0.6
2024-01-04 12:00:00:700,47.3,8,9,11,124,112,0.6,1.0,0.4,0.6
2024-01-04 12:00:00:800,47.4,8,9,11,124,112,0.4,0.9,0.4,0.5
2024-01-04 12:00:00:900,47.5,8,9,11,124,112,0.4,1.0,0.5,0.6
2024-01-04 12:00:01:000,47.5,8,9,11,124,112,0.5,0.9,0.5,0.6
2024-01-04 12:00:01:100,47.8,8,9,11,124,112,0.5,1.0,0.4,0.6
2024-01-04 12:00:01:200,48.0,8,9,11,124,112,0.5,1.0,0.4,0.6
2024-01-04 12:00:01:300,48.1,8,9,11,125,112,0.5,1.1,0.4,0.6
2024-01-04 12:00:01:400,48.2,8,9,11,125,112,0.5,1.0,0.4,0.6
2024-01-04 12:00:01:500,48.2,8,9,11,125,112,0.4,1.1,0.5,0.5
2024-01-04 12:00:01:600,48.3,8,9,11,124,111,0.6,1.0,0.5,0.6
2024-01-04 12:00:01:700,48.4,8,9,11,124,111,0.4,1.0,0.4,0.6
2024-01-04 12:00:01:800,48.5,8,9,11,124,111,0.5,0.9,0.4,0.6
2024-01-04 12:00:01:900,48.6,8,9,11,125,111,0.5,0.9,0.5,0.6
2024-01-04 12:00:02:000,48.6,8,9,11,125,111,0.5,1.0,0.4,0.6
2024-01-04 12:00:02:100,48.6,8,9,11,125,111,0.4,1.0,0.4,0.6
2024-01-04 12:00:02:200,48.7,8,9,11,124,111,0.5,0.9,0.4,0.5
2024-01-04 12:00:02:300,48.8,8,9,11,124,111,0.6,0.9,0.4,0.6
2024-01-04 12:00:02:400,48.9,8,9,11,124,111,0.5,0.9,0.5,0.6
2024-01-04 12:00:02:500,49.0,8,9,11,124,111,0.5,0.9,0.4,0.6
2024-01-04 12:00:02:600,49.0,8,9,11,124,111,0.5,1.0,0.4,0.6
2024-01-04 12:00:02:700,49.1,8,9,11,124,111,0.4,0.9,0.4,0.6
2024-01-04 12:00:02:800,49.2,8,9,11,124,111,0.5,0.8,0.3,0.6
2024-01-04 12:00:02:900,49.3,8,9,11,124,111,0.5,0.9,0.4,0.7
2024-01-04 12:00:03:000,49.4,8,9,11,124,111,0.6,0.9,0.4,0.6
2024-01-04 12:00:03:100,49.4,8,9,11,123,112,0.4,1.0,0.4,0.6
2024-01-04 12:00:03:200,49.5,8,9,11,123,112,0.4,0.9,0.4,0.6
2024-01-04 12:00:03:300,49.5,8,9,11,123,112,0.4,0.9,0.3,0.6
2024-01-04 12:00:03:400,49.6,8,9,11,123,112,0.6,0.9,0.4,0.6
2024-01-04 12:00:03:500,49.6,8,9,11,123,112,0.5,1.0,0.4,0.6
2024-01-04 12:00:03:600,49.7,8,9,11,123,112,0.5,0.9,0.4,0.6
2024-01-04 12:00:03:700,49.7,8,9,11,123,112,0.5,1.0,0.4,0.6
2024-01-04 12:00:03:800,49.7,8,9,11,123,112,0.5,0.9,0.4,0.6
2024-01-04 12:00:03:900,49.8,8,9,11,123,112,0.4,1.0,0.4,0.6
2024-01-04 12:00:04:000,49.8,8,9,11,123,112,0.5,0.9,0.3,0.6
2024-01-04 12:00:04:100,49.8,8,9,11,123,112,0.5,1.0,0.5,0.7
2024-01-04 12:00:04:200,49.8,8,9,11,123,112,0.6,1.0,0.3,0.6
2024-01-04 12:00:04:300,49.8,8,9,11,123,112,0.4,0.9,0.4,0.6
2024-01-04 12:00:04:400,49.9,8,9,11,123,112,0.5,0.9,0.3,0.6
2024-01-04 12:00:04:500,49.9,8,9,11,123,112,0.5,0.9,0.5,0.6
2024-01-04 12:00:04:600,49.9,8,9,11,124,112,0.5,1.0,0.4,0.7
2024-01-04 12:00:04:700,49.9,8,9,11,124,112,0.5,0.9,0.4,0.5
